Appointment_ID,Appointment_Date,Department,Provider,Appointment_Type,Scheduled_Hour,Slot_Duration_Mins,Wait_Time_Mins,Status,Billing_Amount,Claim_Status,Claim_Turnaround_Days
APT0001,2024-05-20,Cardiology,Dr. Smith,Follow-Up,11,30,40,No-Show,0.0,N/A,
APT0002,2024-10-29,Dermatology,Dr. Davis,New Patient,14,45,19,Completed,165.59,Pending,22.0
APT0003,2024-10-14,Dermatology,Dr. Davis,Urgent Care,11,45,32,Completed,254.31,Paid,17.0
APT0004,2024-03-22,General Practice,Dr. Brown,Annual Checkup,14,30,18,Cancelled,0.0,N/A,
APT0005,2024-02-17,General Practice,Dr. Brown,Annual Checkup,14,30,33,Completed,693.25,Paid,23.0
APT0006,2024-08-23,General Practice,Dr. Brown,Urgent Care,16,45,16,Completed,155.16,Denied,21.0
APT0007,2024-10-22,Dermatology,Dr. Nguyen,New Patient,11,45,16,Completed,562.88,Denied,15.0
APT0008,2024-02-21,Cardiology,Dr. Smith,Urgent Care,14,45,37,Cancelled,0.0,N/A,
APT0009,2024-07-08,General Practice,Dr. Brown,Annual Checkup,13,30,5,No-Show,0.0,N/A,
APT0010,2024-09-30,Cardiology,Dr. Smith,Urgent Care,11,45,18,No-Show,0.0,N/A,
APT0011,2024-12-16,Dermatology,Dr. Davis,Follow-Up,13,30,16,Completed,675.26,Denied,12.0
APT0012,2024-02-03,Pediatrics,Dr. Chen,Annual Checkup,11,30,23,Completed,248.84,Paid,13.0
APT0013,2024-03-14,Pediatrics,Dr. Chen,Follow-Up,12,30,9,No-Show,0.0,N/A,
APT0014,2024-10-26,Dermatology,Dr. Nguyen,Urgent Care,14,45,32,Completed,353.4,Pending,17.0
APT0015,2024-02-16,Dermatology,Dr. Nguyen,Follow-Up,8,30,21,Completed,539.21,Paid,9.0
APT0016,2024-07-16,Dermatology,Dr. Davis,Urgent Care,14,45,16,Completed,470.38,Paid,19.0
APT0017,2024-12-15,Cardiology,Dr. Smith,Annual Checkup,16,30,23,Cancelled,0.0,N/A,
APT0018,2024-08-20,Pediatrics,Dr. Wilson,Follow-Up,8,30,23,Cancelled,0.0,N/A,
APT0019,2024-11-23,Cardiology,Dr. Patel,Follow-Up,16,30,29,Completed,206.99,Pending,16.0
APT0020,2024-11-02,Dermatology,Dr. Davis,New Patient,13,45,15,Completed,178.31,Denied,29.0
